idx,timestamp,pid,challenge,tx_hex,rx_hex,parsed_format,spike16,seed16,thr16,thr_idx,majresp,auth,attempts
0,2025-09-18T05:55:02.457621,0,0x0000,aa000000,ee001d125500000069,debug7,29,4693,,,,,1
1,2025-09-18T05:55:02.487811,0,0x0001,aa000001,ee00d5a95500000040,debug7,213,43349,,,,,1
2,2025-09-18T05:55:02.518496,0,0x0002,aa000002,ee0105525500000127,debug7,261,21077,,,,,1
3,2025-09-18T05:55:02.549586,0,0x0003,aa000003,ee023b7655000000cb,debug7,571,30293,,,,,1
4,2025-09-18T05:55:02.580092,0,0x0004,aa000004,ee03a48455000001a9,debug7,932,33877,,,,,1
5,2025-09-18T05:55:02.610620,0,0x0005,aa000005,ee0445bb5500000116,debug7,1093,47957,,,,,1
6,2025-09-18T05:55:02.641321,0,0x0006,aa000006,ee0517d2550000014e,debug7,1303,53845,,,,,1
7,2025-09-18T05:55:02.672503,0,0x0007,aa000007,ee06b4e455000001e7,debug7,1716,58453,,,,,1
8,2025-09-18T05:55:02.703748,0,0x0008,aa000008,ee07231655000001a3,debug7,1827,5717,,,,,1
9,2025-09-18T05:55:02.733863,0,0x0009,aa000009,ee085d3b5500000063,debug7,2141,15189,,,,,1
10,2025-09-18T05:55:02.765176,0,0x000A,aa00000a,ee0930d655000000e8,debug7,2352,54869,,,,,1
11,2025-09-18T05:55:02.796951,0,0x000B,aa00000b,ee0aabe4550000019c,debug7,2731,58453,,,,,1
12,2025-09-18T05:55:02.828592,0,0x000C,aa00000c,ee0bde895500000175,debug7,3038,35157,,,,,1
13,2025-09-18T05:55:02.860312,0,0x000D,aa00000d,ee0c9d20550000016d,debug7,3229,8277,,,,,1
14,2025-09-18T05:55:02.892843,0,0x000E,aa00000e,ee0d18525500000070,debug7,3352,21077,,,,,1
15,2025-09-18T05:55:02.923227,0,0x000F,aa00000f,ee0e0072550000006d,debug7,3584,29269,,,,,1
16,2025-09-18T05:55:02.954670,0,0x0010,aa000010,ee0f549b5500000049,debug7,3924,39765,,,,,1
17,2025-09-18T05:55:02.987041,0,0x0011,aa000011,ee10cda95500000036,debug7,4301,43349,,,,,1
18,2025-09-18T05:55:03.017214,0,0x0012,aa000012,ee1136d655000000f6,debug7,4406,54869,,,,,1
19,2025-09-18T05:55:03.047944,0,0x0013,aa000013,ee1268ff5500000082,debug7,4712,65365,,,,,1
20,2025-09-18T05:55:03.079183,0,0x0014,aa000014,ee13ec8d5500000087,debug7,5100,36181,,,,,1
21,2025-09-18T05:55:03.109690,0,0x0015,aa000015,ee1408325500000020,debug7,5128,12885,,,,,1
22,2025-09-18T05:55:03.140377,0,0x0016,aa000016,ee1581405500000136,debug7,5505,16469,,,,,1
23,2025-09-18T05:55:03.171546,0,0x0017,aa000017,ee160df25500000038,debug7,5645,62037,,,,,1
24,2025-09-18T05:55:03.202824,0,0x0018,aa000018,ee178f805500000106,debug7,6031,32853,,,,,1
25,2025-09-18T05:55:03.233270,0,0x0019,aa000019,ee18613f55000000b7,debug7,6241,16213,,,,,1
26,2025-09-18T05:55:03.265118,0,0x001A,aa00001a,ee194adb5500000021,debug7,6474,56149,,,,,1
27,2025-09-18T05:55:03.296206,0,0x001B,aa00001b,ee1aa8645500000186,debug7,6824,25685,,,,,1
28,2025-09-18T05:55:03.327389,0,0x001C,aa00001c,ee1b9f005500000172,debug7,7071,85,,,,,1
29,2025-09-18T05:55:03.359019,0,0x001D,aa00001d,ee1c17b25500000046,debug7,7191,45653,,,,,1
30,2025-09-18T05:55:03.390738,0,0x001E,aa00001e,ee1d7e5f55000000db,debug7,7550,24405,,,,,1
31,2025-09-18T05:55:03.421746,0,0x001F,aa00001f,ee1e4dfb5500000039,debug7,7757,64341,,,,,1
32,2025-09-18T05:55:03.452434,0,0x0020,aa000020,ee1f5f1f5500000100,debug7,8031,8021,,,,,1
33,2025-09-18T05:55:03.483498,0,0x0021,aa000021,ee206f3b5500000085,debug7,8303,15189,,,,,1
34,2025-09-18T05:55:03.514696,0,0x0022,aa000022,ee21f44955000001cb,debug7,8692,18773,,,,,1
35,2025-09-18T05:55:03.546087,0,0x0023,aa000023,ee227efb55000000d3,debug7,8830,64341,,,,,1
36,2025-09-18T05:55:03.576738,0,0x0024,aa000024,ee23e50955000001ac,debug7,9189,2389,,,,,1
37,2025-09-18T05:55:03.608698,0,0x0025,aa000025,ee24d72d550000015d,debug7,9431,11605,,,,,1
38,2025-09-18T05:55:03.640286,0,0x0026,aa000026,ee2543df5500000100,debug7,9539,57173,,,,,1
39,2025-09-18T05:55:03.670804,0,0x0027,aa000027,ee261e765500000067,debug7,9758,30293,,,,,1
40,2025-09-18T05:55:03.701163,0,0x0028,aa000028,ee278f845500000104,debug7,10127,33877,,,,,1
41,2025-09-18T05:55:03.733257,0,0x0029,aa000029,ee28dbad5500000066,debug7,10459,44373,,,,,1
42,2025-09-18T05:55:03.763704,0,0x002A,aa00002a,ee2974db55000000fe,debug7,10612,56149,,,,,1
43,2025-09-18T05:55:03.794179,0,0x002B,aa00002b,ee2ac9ed5500000035,debug7,10953,60757,,,,,1
44,2025-09-18T05:55:03.826263,0,0x002C,aa00002c,ee2b541f550000004a,debug7,11092,8021,,,,,1
45,2025-09-18T05:55:03.858363,0,0x002D,aa00002d,ee2ce52955000001ad,debug7,11493,10581,,,,,1
46,2025-09-18T05:55:03.890432,0,0x002E,aa00002e,ee2d77db55000000fb,debug7,11639,56149,,,,,1
47,2025-09-18T05:55:03.921201,0,0x002F,aa00002f,ee2e9ae45500000075,debug7,11930,58453,,,,,1
48,2025-09-18T05:55:03.952126,0,0x0030,aa000030,ee2fcf8d550000015f,debug7,12239,36181,,,,,1
49,2025-09-18T05:55:03.984178,0,0x0031,aa000031,ee3080245500000109,debug7,12416,9301,,,,,1
50,2025-09-18T05:55:04.014713,0,0x0032,aa000032,ee3106d6550000001a,debug7,12550,54869,,,,,1
51,2025-09-18T05:55:04.045740,0,0x0033,aa000033,ee329264550000015a,debug7,12946,25685,,,,,1
52,2025-09-18T05:55:04.076334,0,0x0034,aa000034,ee3311965500000151,debug7,13073,38485,,,,,1
53,2025-09-18T05:55:04.107247,0,0x0035,aa000035,ee3443bf5500000009,debug7,13379,48981,,,,,1
54,2025-09-18T05:55:04.137851,0,0x0036,aa000036,ee35cb4d550000002b,debug7,13771,19797,,,,,1
55,2025-09-18T05:55:04.168830,0,0x0037,aa000037,ee3657ff5500000047,debug7,13911,65365,,,,,1
56,2025-09-18T05:55:04.200087,0,0x0038,aa000038,ee37731b55000000f9,debug7,14195,6997,,,,,1
57,2025-09-18T05:55:04.230505,0,0x0039,aa000039,ee383ab255000000d0,debug7,14394,45653,,,,,1
58,2025-09-18T05:55:04.262619,0,0x003A,aa00003a,ee399e445500000161,debug7,14750,17493,,,,,1
59,2025-09-18T05:55:04.293960,0,0x003B,aa00003b,ee3a8c645500000108,debug7,14988,25685,,,,,1
60,2025-09-18T05:55:04.325622,0,0x003C,aa00003c,ee3b14165500000148,debug7,15124,5717,,,,,1
61,2025-09-18T05:55:04.355764,0,0x003D,aa00003d,ee3c95245500000143,debug7,15509,9301,,,,,1
62,2025-09-18T05:55:04.386818,0,0x003E,aa00003e,ee3d0656550000001b,debug7,15622,22101,,,,,1
63,2025-09-18T05:55:04.417395,0,0x003F,aa00003f,ee3e23f255000000bc,debug7,15907,62037,,,,,1
64,2025-09-18T05:55:04.448215,0,0x0040,aa000040,ee3fc5815500000118,debug7,16325,33109,,,,,1
65,2025-09-18T05:55:04.478749,0,0x0041,aa000041,ee4095a85500000140,debug7,16533,43093,,,,,1
66,2025-09-18T05:55:04.509785,0,0x0042,aa000042,ee411b5a5500000074,debug7,16667,23125,,,,,1
67,2025-09-18T05:55:04.540535,0,0x0043,aa000043,ee429468550000017f,debug7,17044,26709,,,,,1
68,2025-09-18T05:55:04.571614,0,0x0044,aa000044,ee43af0c550000019d,debug7,17327,3157,,,,,1
69,2025-09-18T05:55:04.602195,0,0x0045,aa000045,ee447c3755000000d8,debug7,17532,14165,,,,,1
70,2025-09-18T05:55:04.633557,0,0x0046,aa000046,ee45e4c555000001bf,debug7,17892,50517,,,,,1
71,2025-09-18T05:55:04.665883,0,0x0047,aa000047,ee468ee8550000013a,debug7,18062,59477,,,,,1
72,2025-09-18T05:55:04.696537,0,0x0048,aa000048,ee47649755000001a6,debug7,18276,38741,,,,,1
73,2025-09-18T05:55:04.728130,0,0x0049,aa000049,ee48273e55000000a8,debug7,18471,15957,,,,,1
74,2025-09-18T05:55:04.758604,0,0x004A,aa00004a,ee496d5755000001be,debug7,18797,22357,,,,,1
75,2025-09-18T05:55:04.789235,0,0x004B,aa00004b,ee4aea655500000199,debug7,19178,25941,,,,,1
76,2025-09-18T05:55:04.820247,0,0x004C,aa00004c,ee4bb28c550000018f,debug7,19378,35925,,,,,1
77,2025-09-18T05:55:04.851065,0,0x004D,aa00004d,ee4c5bb3550000007e,debug7,19547,45909,,,,,1
78,2025-09-18T05:55:04.883178,0,0x004E,aa00004e,ee4d01da5500000068,debug7,19713,55893,,,,,1
79,2025-09-18T05:55:04.914503,0,0x004F,aa00004f,ee4efae555000000c1,debug7,20218,58709,,,,,1
80,2025-09-18T05:55:04.945150,0,0x0050,aa000050,ee4f729755000000e0,debug7,20338,38741,,,,,1
81,2025-09-18T05:55:04.977148,0,0x0051,aa000051,ee5030be55000000e0,debug7,20528,48725,,,,,1
82,2025-09-18T05:55:05.008181,0,0x0052,aa000052,ee51295e5500000087,debug7,20777,24149,,,,,1
83,2025-09-18T05:55:05.040121,0,0x0053,aa000053,ee52e1e555000000ae,debug7,21217,58709,,,,,1
84,2025-09-18T05:55:05.071215,0,0x0054,aa000054,ee5354135500000149,debug7,21332,4949,,,,,1
85,2025-09-18T05:55:05.102331,0,0x0055,aa000055,ee54c7215500000107,debug7,21703,8533,,,,,1
86,2025-09-18T05:55:05.134088,0,0x0056,aa000056,ee553a5e55000000cc,debug7,21818,24149,,,,,1
87,2025-09-18T05:55:05.166089,0,0x0057,aa000057,ee56cee15500000038,debug7,22222,57685,,,,,1
88,2025-09-18T05:55:05.197232,0,0x0058,aa000058,ee57051a550000001e,debug7,22277,6741,,,,,1
89,2025-09-18T05:55:05.229208,0,0x0059,aa000059,ee5845335500000015,debug7,22597,13141,,,,,1
90,2025-09-18T05:55:05.260010,0,0x005A,aa00005a,ee59c2415500000103,debug7,22978,16725,,,,,1
91,2025-09-18T05:55:05.292539,0,0x005B,aa00005b,ee5a4f735500000032,debug7,23119,29525,,,,,1
92,2025-09-18T05:55:05.324392,0,0x005C,aa00005c,ee5b4e135500000037,debug7,23374,4949,,,,,1
93,2025-09-18T05:55:05.355645,0,0x005D,aa00005d,ee5cb0ac55000000e4,debug7,23728,44117,,,,,1
94,2025-09-18T05:55:05.387647,0,0x005E,aa00005e,ee5d4c53550000003c,debug7,23884,21333,,,,,1
95,2025-09-18T05:55:05.418912,0,0x005F,aa00005f,ee5e787755000000f7,debug7,24184,30549,,,,,1
96,2025-09-18T05:55:05.450922,0,0x0060,aa000060,ee5f351a55000000f1,debug7,24373,6741,,,,,1
97,2025-09-18T05:55:05.482014,0,0x0061,aa000061,ee60dc255500000069,debug7,24796,9557,,,,,1
98,2025-09-18T05:55:05.512711,0,0x0062,aa000062,ee6158d75500000071,debug7,24920,55125,,,,,1
99,2025-09-18T05:55:05.544101,0,0x0063,aa000063,ee62677355000000a9,debug7,25191,29525,,,,,1
100,2025-09-18T05:55:05.575221,0,0x0064,aa000064,ee63f88155000000cb,debug7,25592,33109,,,,,1
101,2025-09-18T05:55:05.607622,0,0x0065,aa000065,ee64d8a5550000007f,debug7,25816,42325,,,,,1
102,2025-09-18T05:55:05.639169,0,0x0066,aa000066,ee6546575500000118,debug7,25926,22357,,,,,1
103,2025-09-18T05:55:05.669954,0,0x0067,aa000067,ee662dfa550000008e,debug7,26157,64085,,,,,1
104,2025-09-18T05:55:05.701127,0,0x0068,aa000068,ee67a20855000001a3,debug7,26530,2133,,,,,1
105,2025-09-18T05:55:05.733148,0,0x0069,aa000069,ee682d3a550000008f,debug7,26669,14933,,,,,1
106,2025-09-18T05:55:05.764194,0,0x006A,aa00006a,ee69255a55000001ca,debug7,26917,23125,,,,,1
107,2025-09-18T05:55:05.795404,0,0x006B,aa00006b,ee6aaa685500000199,debug7,27306,26709,,,,,1
108,2025-09-18T05:55:05.825296,0,0x006C,aa00006c,ee6b6d935500000184,debug7,27501,37717,,,,,1
109,2025-09-18T05:55:05.857198,0,0x006D,aa00006d,ee6c2c3a5500000081,debug7,27692,14933,,,,,1
110,2025-09-18T05:55:05.888540,0,0x006E,aa00006e,ee6dd2c55500000059,debug7,28114,50517,,,,,1
111,2025-09-18T05:55:05.919345,0,0x006F,aa00006f,ee6eff6155000000d2,debug7,28415,24917,,,,,1
112,2025-09-18T05:55:05.950195,0,0x0070,aa000070,ee6f391a55000000c9,debug7,28473,6741,,,,,1
113,2025-09-18T05:55:05.981126,0,0x0071,aa000071,ee70f3a155000001fd,debug7,28915,41301,,,,,1
114,2025-09-18T05:55:06.011183,0,0x0072,aa000072,ee717ad355000000cc,debug7,29050,54101,,,,,1
115,2025-09-18T05:55:06.043040,0,0x0073,aa000073,ee723afa55000000c7,debug7,29242,64085,,,,,1
116,2025-09-18T05:55:06.074757,0,0x0074,aa000074,ee736f93550000009a,debug7,29551,37717,,,,,1
117,2025-09-18T05:55:06.105474,0,0x0075,aa000075,ee74eca15500000087,debug7,29932,41301,,,,,1
118,2025-09-18T05:55:06.136086,0,0x0076,aa000076,ee75285a550000009f,debug7,29992,23125,,,,,1
119,2025-09-18T05:55:06.166767,0,0x0077,aa000077,ee76f76155000001fd,debug7,30455,24917,,,,,1
120,2025-09-18T05:55:06.199166,0,0x0078,aa000078,ee77129e5500000055,debug7,30482,40533,,,,,1
121,2025-09-18T05:55:06.230737,0,0x0079,aa000079,ee78afa855000001b2,debug7,30895,43093,,,,,1
122,2025-09-18T05:55:06.261620,0,0x007A,aa00007a,ee79395a55000001de,debug7,31033,23125,,,,,1
123,2025-09-18T05:55:06.293910,0,0x007B,aa00007b,ee7a4b775500000024,debug7,31307,30549,,,,,1
124,2025-09-18T05:55:06.325524,0,0x007C,aa00007c,ee7b4e175500000037,debug7,31566,5973,,,,,1
125,2025-09-18T05:55:06.356647,0,0x007D,aa00007d,ee7c68335500000195,debug7,31848,13141,,,,,1
126,2025-09-18T05:55:06.386815,0,0x007E,aa00007e,ee7dfcc155000001c8,debug7,32252,49493,,,,,1
127,2025-09-18T05:55:06.417877,0,0x007F,aa00007f,ee7e17fe5500000046,debug7,32279,65109,,,,,1
128,2025-09-18T05:55:06.449014,0,0x0080,aa000080,ee7fdd195500000069,debug7,32733,6485,,,,,1
129,2025-09-18T05:55:06.479570,0,0x0081,aa000081,ee805fab5500000105,debug7,32863,43861,,,,,1
130,2025-09-18T05:55:06.511138,0,0x0082,aa000082,ee8179cf55000000d8,debug7,33145,53077,,,,,1
131,2025-09-18T05:55:06.542068,0,0x0083,aa000083,ee82a2f455000001b1,debug7,33442,62549,,,,,1
132,2025-09-18T05:55:06.573085,0,0x0084,aa000084,ee832286550000018e,debug7,33570,34389,,,,,1
133,2025-09-18T05:55:06.604792,0,0x0085,aa000085,ee8409225500000122,debug7,33801,8789,,,,,1
